Cluster_ID,Cluster_Size,Feature_Type,Rank,Feature_Name,Deviation_from_Average,Cluster_Mean_Value
0,231,Top,1,RefuseFood_WeightConcern_Often,0.08788171288171293,0.4155844155844156
0,231,Top,2,Eat_WhenSeeDeliciousFood_Often,0.08735521235521232,0.42857142857142855
0,231,Top,3,RefuseFood_WeightConcern_Seldom,0.06411606411606408,0.30735930735930733
0,231,Top,4,Eat_WhenSeeDeliciousFood_Seldom,0.062214812214812204,0.2987012987012987
0,231,Top,5,EatLess_AfterOvereating_Often,0.04851117351117351,0.49783549783549785
0,231,Top,6,DesireToBuy _FromSnackBarOrCafe_Often,0.04375804375804371,0.47619047619047616
0,231,Top,7,current_city_Sylhet,0.04087691587691589,0.18614718614718614
0,231,Top,8,Days_DissatisfiedWithShape_13-27 days,0.03929741429741432,0.22510822510822512
0,231,Top,9,EatMore_IfFoodSmellsOrLooksGood_Seldom,0.03391540891540892,0.24675324675324675
0,231,Top,10,current_city_Chattogram,0.033271908271908276,0.15151515151515152
0,231,Least,1,RefuseFood_WeightConcern_Sometimes,-0.19499531999532,0.004329004329004329
0,231,Least,2,Eat_WhenSeeDeliciousFood_Sometimes,-0.19256756756756757,0.0
0,231,Least,3,current_city_Rajshahi,-0.09279571779571778,0.03896103896103896
0,231,Least,4,current_city_Rangpur,-0.0855124605124605,0.025974025974025976
0,231,Least,5,EatLess_AtMealtime_Seldom,-0.041578916578916575,0.1645021645021645
0,231,Least,6,EatLess_AfterOvereating_Seldom,-0.0382005382005382,0.1645021645021645
0,231,Least,7,DesireToBuy _FromSnackBarOrCafe_Seldom,-0.037249912249912254,0.16883116883116883
0,231,Least,8,Days_UncomfortableToSeeOwnBody_13-27 days,-0.036621036621036634,0.12554112554112554
0,231,Least,9,Days_ShapeAffectedSelfJudgment_13-27 days,-0.03577278577278578,0.16017316017316016
0,231,Least,10,Days_FollowedRulesToControlShapeOrWeight_13-27 days,-0.033447408447408455,0.18614718614718614
1,65,Top,1,RefuseFood_WeightConcern_Sometimes,0.692983367983368,0.8923076923076924
1,65,Top,2,Eat_WhenSeeDeliciousFood_Sometimes,0.6843555093555094,0.8769230769230769
1,65,Top,3,current_city_Rajshahi,0.3297817047817048,0.46153846153846156
1,65,Top,4,current_city_Rangpur,0.30389812889812895,0.4153846153846154
1,65,Top,5,EatLess_AtMealtime_Seldom,0.14776507276507278,0.35384615384615387
1,65,Top,6,EatLess_AfterOvereating_Seldom,0.13575883575883577,0.3384615384615385
1,65,Top,7,DesireToBuy _FromSnackBarOrCafe_Seldom,0.1323804573804574,0.3384615384615385
1,65,Top,8,Days_UncomfortableToSeeOwnBody_13-27 days,0.13014553014553015,0.2923076923076923
1,65,Top,9,Days_ShapeAffectedSelfJudgment_13-27 days,0.12713097713097715,0.3230769230769231
1,65,Top,10,Days_FollowedRulesToControlShapeOrWeight_13-27 days,0.11886694386694388,0.3384615384615385
1,65,Least,1,RefuseFood_WeightConcern_Often,-0.3123180873180873,0.015384615384615385
1,65,Least,2,Eat_WhenSeeDeliciousFood_Often,-0.31044698544698546,0.03076923076923077
1,65,Least,3,RefuseFood_WeightConcern_Seldom,-0.22785862785862787,0.015384615384615385
1,65,Least,4,Eat_WhenSeeDeliciousFood_Seldom,-0.2211018711018711,0.015384615384615385
1,65,Least,5,EatLess_AfterOvereating_Often,-0.1724012474012474,0.27692307692307694
1,65,Least,6,DesireToBuy _FromSnackBarOrCafe_Often,-0.15550935550935552,0.27692307692307694
1,65,Least,7,current_city_Sylhet,-0.14527027027027026,0.0
1,65,Least,8,Days_DissatisfiedWithShape_13-27 days,-0.13965696465696464,0.046153846153846156
1,65,Least,9,EatMore_IfFoodSmellsOrLooksGood_Seldom,-0.12053014553014552,0.09230769230769231
1,65,Least,10,current_city_Chattogram,-0.11824324324324324,0.0
